a.accountNumber,a.pagerank,a.degree,a.in_degree,a.out_degree,a.betweenness,a.community_id,a.community_size,a.triangle_count,a.cycle_count,a.intermediate_accounts,a.is_fraud,a.fraud_score
ACC04590,1.583305765309465,1.0,11.0,1.0,9674.706311974407,6803,545,0,0,1,0,0.5408180568285976
ACC04906,1.2743435623310675,1.0,11.0,1.0,18636.314046633488,6870,959,0,0,1,0,0.5408180568285976
ACC00493,1.331212121795701,1.0,11.0,1.0,14459.037006005512,6717,53,0,0,1,0,0.5408180568285976
ACC01436,0.9564382213314753,1.0,11.0,1.0,21762.100085590107,5077,376,0,0,1,0,0.5408180568285976
ACC01870,1.6535084769935884,1.0,11.0,1.0,55564.20288245873,6717,53,0,0,1,0,0.5408180568285976
ACC05746,1.8358799124433838,1.0,11.0,1.0,13148.668498313138,8492,679,0,0,1,0,0.5408180568285976
ACC05753,0.946577194280268,1.0,11.0,1.0,9083.053709299962,5615,410,0,0,1,0,0.5408180568285976
ACC05990,3.549128239947429,1.0,11.0,1.0,39412.13694372795,3568,865,0,0,1,0,0.5408180568285976
ACC00001,2.417691490751207,6.0,16.0,6.0,65872.8039852082,6870,959,0,0,1,0,0.5404479341848097
ACC03561,2.226758113230232,6.0,16.0,6.0,116649.97695699232,5073,591,0,0,1,0,0.5404479341848097
ACC02730,1.857753174794246,6.0,16.0,6.0,76733.62321965164,4657,406,0,0,1,0,0.5404479341848097
ACC01122,2.4922975367532327,6.0,16.0,6.0,149907.06471510543,8492,679,0,0,1,0,0.5404479341848097
ACC08243,1.8777558694073173,6.0,16.0,6.0,79211.87712368651,6200,433,0,0,1,0,0.5404479341848097
ACC08246,1.5194064364559237,6.0,16.0,6.0,97501.03319007985,6870,959,0,0,1,0,0.5404479341848097
ACC05295,1.5504559151758541,8.0,15.0,8.0,120788.45382023665,7356,726,0,0,1,0,0.5404291117777488
ACC02850,1.5344017120189963,8.0,15.0,8.0,80329.81143035187,8946,401,0,0,1,0,0.5404291117777488
ACC03628,0.3795736061189622,5.0,2.0,5.0,19463.432794556287,5073,591,1,0,1,0,0.5403653049564348
ACC01107,0.35040864240356107,5.0,2.0,5.0,21687.41133708661,6803,545,1,0,1,0,0.5403653049564348
ACC06661,0.32947142763622217,5.0,2.0,5.0,14992.776093433673,5073,591,1,0,1,0,0.5403653049564348
ACC07665,1.5686385473974225,10.0,9.0,10.0,160180.4512901154,7356,726,1,0,1,0,0.5402681437819062
ACC05381,0.45663513004696843,4.0,4.0,4.0,36894.25753246995,2535,424,2,1,1,0,0.5400124984376953
ACC05578,0.32299481461523083,4.0,1.0,4.0,20886.10688976417,6200,433,0,0,1,0,0.5400079984003199
ACC05610,0.3001425864144321,4.0,1.0,4.0,9372.310789816269,6870,959,0,0,1,0,0.5400079984003199
ACC05726,0.205789488897978,4.0,1.0,4.0,19792.988969812453,5073,591,0,0,1,0,0.5400079984003199
ACC06009,0.200213647499084,4.0,1.0,4.0,6891.5999040290935,3668,708,0,0,1,0,0.5400079984003199
ACC06110,0.2413925425003452,4.0,1.0,4.0,6500.993870492077,5018,678,0,0,1,0,0.5400079984003199
ACC06268,0.3223305188184319,4.0,1.0,4.0,8194.23715565007,6803,545,0,0,1,0,0.5400079984003199
ACC06589,0.31833751739085875,4.0,1.0,4.0,9503.539891329252,3668,708,0,0,1,0,0.5400079984003199
ACC06625,0.2764773890781081,4.0,1.0,4.0,7767.560241449145,3038,126,0,0,1,0,0.5400079984003199
ACC06873,0.3239010796687797,4.0,1.0,4.0,6765.4732216847315,4657,406,0,0,1,0,0.5400079984003199
ACC06958,0.19395091929826355,4.0,1.0,4.0,8628.217874332633,3792,232,0,0,1,0,0.5400079984003199
ACC06994,0.3429648165503628,4.0,1.0,4.0,8775.767529408035,6870,959,0,0,1,0,0.5400079984003199
ACC07055,0.3118441180237771,4.0,1.0,4.0,14386.421874914524,5073,591,0,0,1,0,0.5400079984003199
ACC08223,0.33759296111400616,4.0,1.0,4.0,7357.240278006382,5077,376,0,0,1,0,0.5400079984003199
ACC08254,0.1942900040834134,4.0,1.0,4.0,1621.833822138227,5018,678,0,0,1,0,0.5400079984003199
ACC08677,0.1850142923614988,4.0,1.0,4.0,6201.771163084246,6200,433,0,0,1,0,0.5400079984003199
ACC09108,0.16808385444491628,4.0,1.0,4.0,2553.430354082884,4657,406,0,0,1,0,0.5400079984003199
ACC09145,0.19971314676645616,4.0,1.0,4.0,3494.291173263299,5018,678,0,0,1,0,0.5400079984003199
ACC09148,0.26159183146156917,4.0,1.0,4.0,9521.334101502283,5615,410,0,0,1,0,0.5400079984003199
ACC09156,0.2571364784803404,4.0,1.0,4.0,7626.586134338103,8492,679,0,0,1,0,0.5400079984003199
ACC09208,0.8252690819201782,4.0,1.0,4.0,10904.459779328849,3568,865,0,0,1,0,0.5400079984003199
ACC00137,0.23245717457322015,4.0,1.0,4.0,6260.266022689187,8492,679,0,0,1,0,0.5400079984003199
ACC00163,0.44231512177123183,4.0,1.0,4.0,7320.002892303371,6803,545,0,0,1,0,0.5400079984003199
ACC00268,0.3112108921080565,4.0,1.0,4.0,16756.7743777176,7356,726,0,0,1,0,0.5400079984003199
ACC00477,0.18649515689686957,4.0,1.0,4.0,3104.9031805309387,2535,424,0,0,1,0,0.5400079984003199
ACC00545,0.5308414486685801,4.0,1.0,4.0,12895.523076964775,5018,678,0,0,1,0,0.5400079984003199
ACC00566,0.21873165976287764,4.0,1.0,4.0,9068.5506987197,2535,424,0,0,1,0,0.5400079984003199
ACC00588,0.21084372208667648,4.0,1.0,4.0,3952.205909521843,5077,376,0,0,1,0,0.5400079984003199
ACC00747,0.2597405044855485,4.0,1.0,4.0,10024.573974218276,4657,406,0,0,1,0,0.5400079984003199
ACC09395,0.23275897794956607,4.0,1.0,4.0,7496.669777485272,8492,679,0,0,1,0,0.5400079984003199
ACC09465,0.4363822439982641,4.0,1.0,4.0,18738.310940093066,6200,433,0,0,1,0,0.5400079984003199
ACC09560,0.21017951690230563,4.0,1.0,4.0,5701.69987278004,6870,959,0,0,1,0,0.5400079984003199
ACC09651,0.3869268334022966,4.0,1.0,4.0,10372.029480621115,5018,678,0,0,1,0,0.5400079984003199
ACC09761,0.23301538628593488,4.0,1.0,4.0,6695.948455380645,3038,126,0,0,1,0,0.5400079984003199
ACC02352,0.2175935313499129,4.0,1.0,4.0,9638.90477911977,3568,865,0,0,1,0,0.5400079984003199
ACC02533,0.2668096445084598,4.0,1.0,4.0,5144.705498217786,6803,545,0,0,1,0,0.5400079984003199
ACC02662,0.2898356939435399,4.0,1.0,4.0,10719.993546226624,2535,424,0,0,1,0,0.5400079984003199
ACC02712,0.3472481856567691,4.0,1.0,4.0,9311.109016231829,3038,126,0,0,1,0,0.5400079984003199
ACC02796,0.3545701523552463,4.0,1.0,4.0,6831.723756875362,2535,424,0,0,1,0,0.5400079984003199
ACC02928,0.20587737870483852,4.0,1.0,4.0,5926.507597319687,3792,232,0,0,1,0,0.5400079984003199
ACC03031,0.23023658827283502,4.0,1.0,4.0,11648.245739802938,7356,726,0,0,1,0,0.5400079984003199
ACC04210,0.18734091217373236,4.0,1.0,4.0,4825.299370120344,5073,591,0,0,1,0,0.5400079984003199
ACC04588,0.3726668646083568,4.0,1.0,4.0,11174.34485971234,5826,257,0,0,1,0,0.5400079984003199
ACC04599,0.29681233625345954,4.0,1.0,4.0,9867.069492433482,5615,410,0,0,1,0,0.5400079984003199
ACC05023,0.25197905603441856,4.0,1.0,4.0,5983.913308113939,6870,959,0,0,1,0,0.5400079984003199
ACC05070,0.3968489139051671,4.0,1.0,4.0,13175.539534341011,4657,406,0,0,1,0,0.5400079984003199
ACC07549,0.47408820759067866,4.0,1.0,4.0,13959.45486356914,6803,545,0,0,1,0,0.5400079984003199
ACC07659,0.3701909838736199,4.0,1.0,4.0,19084.533273228117,3668,708,0,0,1,0,0.5400079984003199
ACC07817,0.3544895794356067,4.0,1.0,4.0,7826.222714287535,8946,401,0,0,1,0,0.5400079984003199
ACC07825,0.23409839300718907,4.0,1.0,4.0,6137.732014072106,6870,959,0,0,1,0,0.5400079984003199
ACC07846,0.5058446033982091,4.0,1.0,4.0,15112.958657872568,3668,708,0,0,1,0,0.5400079984003199
ACC08041,0.2037597440871245,4.0,1.0,4.0,8572.245942812175,2535,424,0,0,1,0,0.5400079984003199
ACC01580,0.2443121760360262,4.0,1.0,4.0,7591.83724768944,3568,865,0,0,1,0,0.5400079984003199
ACC01610,0.18247460255626438,4.0,1.0,4.0,4683.607307452885,8946,401,0,0,1,0,0.5400079984003199
ACC01760,0.32918094982622886,4.0,1.0,4.0,4091.711662578165,3668,708,0,0,1,0,0.5400079984003199
ACC01906,0.28416918082567233,4.0,1.0,4.0,8502.330192326346,6200,433,0,0,1,0,0.5400079984003199
ACC01948,0.2134201613098437,4.0,1.0,4.0,5813.086394279752,3568,865,0,0,1,0,0.5400079984003199
ACC03134,0.23986221971778413,4.0,1.0,4.0,6763.938483065845,7356,726,0,0,1,0,0.5400079984003199
ACC03245,0.338426201404522,4.0,1.0,4.0,14184.181048811588,3568,865,0,0,1,0,0.5400079984003199
ACC03288,0.20599900298773077,4.0,1.0,4.0,4262.678217193742,8946,401,0,0,1,0,0.5400079984003199
ACC03315,0.23642809304410362,4.0,1.0,4.0,10263.480911003604,7356,726,0,0,1,0,0.5400079984003199
ACC03389,0.19661209306550864,4.0,1.0,4.0,11804.133661578468,6803,545,0,0,1,0,0.5400079984003199
ACC03437,0.2607067296879338,4.0,1.0,4.0,7107.219478748587,3568,865,0,0,1,0,0.5400079984003199
ACC03729,0.21575687990121958,4.0,1.0,4.0,4326.473054823671,5826,257,0,0,1,0,0.5400079984003199
ACC03833,0.2521592891580427,4.0,1.0,4.0,5079.235709969661,6200,433,0,0,1,0,0.5400079984003199
ACC03845,0.3732377050148258,4.0,1.0,4.0,10781.504869388318,3568,865,0,0,1,0,0.5400079984003199
ACC03907,0.5262454458982061,4.0,1.0,4.0,18798.231982881207,1651,133,0,0,1,0,0.5400079984003199
ACC04078,0.17226048257486326,4.0,1.0,4.0,1721.3011747164196,5018,678,0,0,1,0,0.5400079984003199
ACC03101,1.2821324393627849,9.0,7.0,9.0,101534.13693065173,3668,708,1,0,1,0,0.5400054684082245
ACC03546,0.9923688732354425,9.0,7.0,9.0,56331.58180996944,7266,168,1,0,1,0,0.5400054684082245
ACC02158,0.8578223484573012,9.0,7.0,9.0,81084.4967697158,3568,865,1,0,1,0,0.5400054684082245
ACC00735,0.7520435234719005,9.0,7.0,9.0,84393.01560332788,7266,168,1,0,1,0,0.5400054684082245
ACC01804,0.7072179255138916,9.0,7.0,9.0,64123.780385698774,5073,591,1,0,1,0,0.5400054684082245
ACC01605,1.9746854647297265,12.0,12.0,12.0,180445.88552005315,3792,232,0,0,1,0,0.5400041664930627
ACC02495,2.430839741867368,12.0,12.0,12.0,122846.59703518526,6717,53,0,0,1,0,0.5400041664930627
ACC03064,2.090790015274711,12.0,12.0,12.0,113512.2599719427,3568,865,0,0,1,0,0.5400041664930627
ACC08205,1.471712149463266,12.0,12.0,12.0,190047.00641648192,2535,424,0,0,1,0,0.5400041664930627
ACC08683,1.1957230443124278,12.0,12.0,12.0,116255.95872127262,3568,865,0,0,1,0,0.5400041664930627
ACC05785,1.208047499789888,12.0,12.0,12.0,114517.07755589846,6870,959,0,0,1,0,0.5400041664930627
ACC06417,1.5587793151253393,12.0,12.0,12.0,146001.81492251635,3568,865,0,0,1,0,0.5400041664930627
ACC03142,1.2877899935834265,12.0,12.0,12.0,120404.57906446462,7356,726,0,0,1,0,0.5400041664930627
ACC03942,1.0471791478880248,12.0,12.0,12.0,134155.22643488902,3568,865,0,0,1,0,0.5400041664930627
ACC00108,1.444608950434273,12.0,12.0,12.0,133889.34018891887,1453,312,0,0,1,0,0.5400041664930627
ACC04850,1.5498405431960274,12.0,12.0,12.0,212756.53159648235,5073,591,0,0,1,0,0.5400041664930627
ACC07236,1.39913451135654,12.0,12.0,12.0,197474.87706762904,1453,312,0,0,1,0,0.5400041664930627
ACC07038,1.4772992593294711,8.0,12.0,8.0,84102.11962664945,5073,591,1,0,1,0,0.539994000299985
ACC02425,2.0048541654268446,4.0,16.0,4.0,107253.60399850649,2535,424,0,0,1,0,0.53999200039998
ACC02964,2.697714470888671,4.0,16.0,4.0,98031.25310403689,3792,232,0,0,1,0,0.53999200039998
ACC00303,2.285838878731061,4.0,16.0,4.0,54259.55898564914,7266,168,0,0,1,0,0.53999200039998
ACC03905,1.7157469249182513,4.0,12.0,4.0,62966.37709116873,8492,679,1,0,1,0,0.5399906255859008
ACC04623,1.753535708238378,4.0,12.0,4.0,82940.40061640614,6870,959,1,0,1,0,0.5399906255859008
ACC05052,1.845331219118081,2.0,14.0,2.0,32632.687999228503,7266,168,0,0,1,0,0.539989063183551
ACC06619,1.8847007815736938,2.0,14.0,2.0,80802.4236340643,7356,726,0,0,1,0,0.539989063183551
ACC07776,1.725301162404287,2.0,14.0,2.0,69317.32403892015,6870,959,0,0,1,0,0.539989063183551
ACC08073,2.856645177607036,2.0,14.0,2.0,51381.64498353734,3568,865,0,0,1,0,0.539989063183551
ACC02018,1.5237202753355585,2.0,14.0,2.0,50273.974754695635,6803,545,0,0,1,0,0.539989063183551
ACC09511,2.0865229020528027,2.0,14.0,2.0,60579.205465515915,6870,959,0,0,1,0,0.539989063183551
ACC03558,1.9922727204882624,2.0,14.0,2.0,19025.664452154266,5073,591,0,0,1,0,0.539989063183551
ACC00712,1.4358569683350242,2.0,14.0,2.0,32210.082154051535,5615,410,0,0,1,0,0.539989063183551
ACC00257,1.8222731048376628,5.0,16.0,5.0,79057.35914317975,5018,678,0,0,1,0,0.5398736964906432
ACC00842,2.5107858744694664,5.0,16.0,5.0,63604.23249950587,5018,678,0,0,1,0,0.5398736964906432
ACC02995,1.9731963026980164,5.0,16.0,5.0,51241.76533938549,1453,312,0,0,1,0,0.5398736964906432
ACC02398,0.40519196197009194,7.0,4.0,7.0,34641.32769188263,3668,708,1,0,1,0,0.539779338241978
ACC07075,0.3740816145215464,7.0,4.0,7.0,20552.26181650306,8946,401,1,0,1,0,0.539779338241978
ACC04757,0.5600880234565236,7.0,4.0,7.0,49333.05432954662,2535,424,1,0,1,0,0.539779338241978
ACC04865,0.612873707243578,7.0,4.0,7.0,26965.88966705669,3668,708,1,0,1,0,0.539779338241978
ACC05000,0.7639822604808544,7.0,4.0,7.0,45419.661123410166,5018,678,1,0,1,0,0.539779338241978
ACC00276,0.3787513388353655,7.0,4.0,7.0,31336.08607831339,7356,726,1,0,1,0,0.539779338241978
ACC00527,0.5581216966995768,7.0,4.0,7.0,33634.26648223621,5826,257,1,0,1,0,0.539779338241978
ACC00944,1.265322521161983,10.0,11.0,10.0,57834.540772229135,6803,545,1,0,1,0,0.5397569163373173
ACC05316,1.770897691091872,10.0,11.0,10.0,165126.45949065557,3568,865,1,0,1,0,0.5397569163373173
ACC04887,1.2748852028470532,10.0,11.0,10.0,116664.50262282827,5073,591,1,0,1,0,0.5397569163373173
ACC08835,1.5582474081862994,3.0,11.0,3.0,67484.05189466334,4657,406,1,0,1,0,0.5396316334547533
ACC09157,1.185795293785318,3.0,11.0,3.0,34074.15677823065,5077,376,1,0,1,0,0.5396316334547533
ACC00197,1.027383305525626,1.0,10.0,1.0,4983.229090594435,3568,865,0,0,1,0,0.5393016543950551
ACC01085,0.9135097574969223,1.0,10.0,1.0,16793.876691255773,7356,726,0,0,1,0,0.5393016543950551
ACC01286,0.98749365682849,1.0,10.0,1.0,11156.700049381978,3668,708,0,0,1,0,0.5393016543950551
ACC02488,1.1468395944294896,1.0,10.0,1.0,16785.254770378422,8492,679,0,0,1,0,0.5393016543950551
ACC02803,1.1665152952395663,1.0,10.0,1.0,19410.207662503282,1773,90,0,0,1,0,0.5393016543950551
ACC07278,0.9212048728664481,1.0,10.0,1.0,4089.262630240022,5018,678,0,0,1,0,0.5393016543950551
ACC07484,1.9488228244158325,1.0,10.0,1.0,44999.42409998223,7356,726,0,0,1,0,0.5393016543950551
ACC08061,0.918729539099223,1.0,10.0,1.0,18520.18476810757,6803,545,0,0,1,0,0.5393016543950551
ACC06107,1.5854471780389605,1.0,10.0,1.0,28715.4024885887,4657,406,0,0,1,0,0.5393016543950551
ACC03682,1.6218458994643072,1.0,10.0,1.0,28904.398199742278,2535,424,0,0,1,0,0.5393016543950551
ACC03765,1.0138164409513228,1.0,10.0,1.0,17295.937679180202,3568,865,0,0,1,0,0.5393016543950551
ACC09967,1.4934529370119392,1.0,10.0,1.0,13731.506235223535,3568,865,0,0,1,0,0.5393016543950551
ACC09976,1.2488552663360952,9.0,14.0,9.0,136651.1713481925,6870,959,0,0,1,0,0.5392338376592322
ACC02970,1.86782761262011,9.0,14.0,9.0,124914.26055621554,7356,726,0,0,1,0,0.5392338376592322
ACC00238,1.6539313009378092,9.0,14.0,9.0,169381.1293862365,8946,401,0,0,1,0,0.5392338376592322
ACC04908,2.073408026832985,9.0,14.0,9.0,162849.42621863377,6200,433,0,0,1,0,0.5392338376592322
ACC07226,1.6663439537579277,9.0,14.0,9.0,113968.3118566327,1453,312,0,0,1,0,0.5392338376592322
ACC08097,1.4750248120183975,9.0,14.0,9.0,119860.38037144835,8492,679,0,0,1,0,0.5392338376592322
ACC07958,2.3756049890191666,3.0,15.0,3.0,59753.21667751387,8492,679,0,0,1,0,0.5391574079217821
ACC01162,1.892529884607199,3.0,15.0,3.0,44320.167069587944,8946,401,0,0,1,0,0.5391574079217821
ACC01805,1.513121514950989,3.0,15.0,3.0,37829.86918748759,6200,433,0,0,1,0,0.5391574079217821
ACC06781,1.2317611136366677,3.0,15.0,3.0,17805.786561731682,6200,433,0,0,1,0,0.5391574079217821
ACC06885,1.7174837805204741,3.0,15.0,3.0,37545.21288949151,4657,406,0,0,1,0,0.5391574079217821
ACC05831,1.7665305888203962,3.0,15.0,3.0,90240.52703353485,6870,959,0,0,1,0,0.5391574079217821
ACC01129,1.9389330756474557,7.0,15.0,7.0,162318.28439182305,7266,168,0,0,1,0,0.5388574382982592
ACC01425,1.8303678046744867,7.0,15.0,7.0,56097.404485927094,3668,708,0,0,1,0,0.5388574382982592
ACC02088,1.8930067018793282,7.0,15.0,7.0,105128.22962063266,5077,376,0,0,1,0,0.5388574382982592
ACC02299,2.3703401695073723,7.0,15.0,7.0,119818.30246129794,8946,401,0,0,1,0,0.5388574382982592
ACC02408,2.9774448900042887,7.0,15.0,7.0,138029.28004701922,3568,865,0,0,1,0,0.5388574382982592
ACC09311,2.1273760476794985,7.0,15.0,7.0,138568.0459910048,5826,257,0,0,1,0,0.5388574382982592
ACC09579,2.053596428166478,7.0,15.0,7.0,216215.01485314572,3568,865,0,0,1,0,0.5388574382982592
ACC09922,1.3378585403901662,7.0,15.0,7.0,74936.91026426769,5077,376,0,0,1,0,0.5388574382982592
ACC00697,2.218421666222361,7.0,15.0,7.0,132469.19338566394,6870,959,0,0,1,0,0.5388574382982592
ACC00727,2.374571978981088,7.0,15.0,7.0,129384.34871255644,5077,376,0,0,1,0,0.5388574382982592
ACC06809,2.2002369238858184,7.0,15.0,7.0,114728.7009184818,9101,344,0,0,1,0,0.5388574382982592
ACC03130,1.4338566808314877,7.0,15.0,7.0,85889.94174304261,6870,959,0,0,1,0,0.5388574382982592
ACC03746,1.8548115300595176,7.0,15.0,7.0,134382.70794485882,5018,678,0,0,1,0,0.5388574382982592
ACC03261,2.404009951131605,7.0,12.0,7.0,83924.26462865202,4657,406,1,0,1,0,0.538809141624125
ACC03408,1.380088694163741,7.0,12.0,7.0,126801.43305535665,3668,708,1,0,1,0,0.538809141624125
ACC03383,2.05381567361951,5.0,12.0,5.0,60816.06994735018,5073,591,1,0,1,0,0.5386681665784365
ACC03505,1.4864309027847191,5.0,12.0,5.0,54772.4639232253,3668,708,1,0,1,0,0.5386681665784365
ACC05683,1.7596860956703726,5.0,12.0,5.0,115970.36134909527,7356,726,1,0,1,0,0.5386681665784365
ACC06401,1.6457434534184952,5.0,12.0,5.0,93634.50912460186,6803,545,1,0,1,0,0.5386681665784365
ACC06663,1.186317729524808,2.0,9.0,2.0,7296.372942573768,1773,90,1,0,1,0,0.5386214889555495
ACC08792,0.41040300703154015,6.0,3.0,6.0,43379.267193381274,4657,406,1,0,1,0,0.5383407399177869
ACC02864,0.4203486873477171,6.0,3.0,6.0,38687.96353523207,8946,401,1,0,1,0,0.5383407399177869
ACC07734,0.5052489823317285,6.0,3.0,6.0,24697.422416524627,3568,865,1,0,1,0,0.5383407399177869
ACC06143,0.4140439696230647,6.0,3.0,6.0,31636.123699827356,8492,679,1,0,1,0,0.5383407399177869
ACC05749,2.0132188208584334,6.0,12.0,6.0,116241.96840872536,7356,726,1,0,1,0,0.5383259263374257
ACC06579,1.339568039999549,6.0,12.0,6.0,44189.31648529642,5077,376,1,0,1,0,0.5383259263374257
ACC05401,1.25889919924187,2.0,13.0,2.0,23260.59705232114,6870,959,0,0,1,0,0.5383217785480968
ACC03208,0.995747222738756,2.0,13.0,2.0,29566.901082115786,7356,726,0,0,1,0,0.5383217785480968
ACC03534,1.5801444464457357,2.0,13.0,2.0,33295.97287481755,3668,708,0,0,1,0,0.5383217785480968
ACC03065,1.276969821153691,2.0,13.0,2.0,49280.71524381579,5615,410,0,0,1,0,0.5383217785480968
ACC07687,1.2704457380580658,2.0,13.0,2.0,48080.09662295776,8492,679,0,0,1,0,0.5383217785480968
ACC08161,1.540511672374285,2.0,13.0,2.0,33851.38696605483,7266,168,0,0,1,0,0.5383217785480968
ACC03204,1.67195221854501,10.0,13.0,10.0,109962.52388224131,6870,959,0,0,1,0,0.5380385635407157
ACC03634,1.371058663335569,10.0,13.0,10.0,126852.89214237833,8946,401,0,0,1,0,0.5380385635407157
ACC09519,1.3410258091929539,10.0,13.0,10.0,101728.15501976485,6870,959,0,0,1,0,0.5380385635407157
ACC05620,1.8943924496054672,10.0,13.0,10.0,170630.05930975048,8492,679,0,0,1,0,0.5380385635407157
ACC05736,1.7297833142649621,10.0,13.0,10.0,146094.07912540852,8492,679,0,0,1,0,0.5380385635407157
ACC08852,1.6265256538293784,10.0,13.0,10.0,112991.72219281463,6200,433,0,0,1,0,0.5380385635407157
ACC00688,1.1136029369405582,10.0,13.0,10.0,110821.3195284005,6870,959,0,0,1,0,0.5380385635407157
ACC01943,2.1420545558860318,4.0,15.0,4.0,73355.41550644205,4657,406,0,0,1,0,0.5378864270301563
ACC09301,1.5952820954491236,4.0,15.0,4.0,90527.69482011572,5077,376,0,0,1,0,0.5378864270301563
ACC09938,1.5682329978669909,4.0,15.0,4.0,77270.59625536833,6200,433,0,0,1,0,0.5378864270301563
ACC02865,1.858335120308687,4.0,15.0,4.0,93160.74437173402,8492,679,0,0,1,0,0.5378864270301563
ACC04320,2.6783582897695144,4.0,15.0,4.0,58598.279281159885,8492,679,0,0,1,0,0.5378864270301563
ACC04905,1.7795045194591985,4.0,15.0,4.0,55821.026560747065,9101,344,0,0,1,0,0.5378864270301563
ACC01474,2.070713673439811,6.0,15.0,6.0,111281.68048834127,8492,679,0,0,1,0,0.537850340459978
ACC05568,1.6172764266063544,6.0,15.0,6.0,113138.03823340367,7266,168,0,0,1,0,0.537850340459978
ACC07406,1.8680428291784974,6.0,15.0,6.0,132072.30008978944,3792,232,0,0,1,0,0.537850340459978
ACC03256,1.7610305004436635,6.0,15.0,6.0,114295.97846949157,3668,708,0,0,1,0,0.537850340459978
ACC02395,1.3213297841793863,6.0,15.0,6.0,82036.46059078512,5077,376,0,0,1,0,0.537850340459978
ACC09155,2.0232630024941263,6.0,15.0,6.0,107229.93994025516,5073,591,0,0,1,0,0.537850340459978
ACC09182,2.1043614037780647,6.0,15.0,6.0,185529.61103521983,6803,545,0,0,1,0,0.537850340459978
ACC08225,1.3281579269114208,9.0,6.0,9.0,60447.92302087368,6870,959,0,0,1,0,0.5375053329778015
ACC08268,0.49287425185311096,9.0,6.0,9.0,17524.050583956418,3668,708,0,0,1,0,0.5375053329778015
ACC08282,0.6828183355384745,9.0,6.0,9.0,27814.35025738642,8946,401,0,0,1,0,0.5375053329778015
ACC08336,1.120526020552585,9.0,6.0,9.0,58377.86642053504,5077,376,0,0,1,0,0.5375053329778015
ACC08446,0.723574065216563,9.0,6.0,9.0,40260.74876035312,2535,424,0,0,1,0,0.5375053329778015
ACC08549,0.8367139848185674,9.0,6.0,9.0,50147.131802084295,5077,376,0,0,1,0,0.5375053329778015
ACC08658,1.0069557035835703,9.0,6.0,9.0,43888.577631478,2535,424,0,0,1,0,0.5375053329778015
ACC08889,0.7792223463537141,9.0,6.0,9.0,58372.932595306964,3568,865,0,0,1,0,0.5375053329778015
ACC08910,0.9061385275805723,9.0,6.0,9.0,58691.845405139626,3038,126,0,0,1,0,0.5375053329778015
ACC09023,0.38947179001196075,9.0,6.0,9.0,57167.28411716974,4657,406,0,0,1,0,0.5375053329778015
ACC09099,1.2039963358536616,9.0,6.0,9.0,92700.34787611774,4657,406,0,0,1,0,0.5375053329778015
ACC09110,1.3425303871979184,9.0,6.0,9.0,89918.61451652291,7266,168,0,0,1,0,0.5375053329778015
ACC09133,0.8267223134532592,9.0,6.0,9.0,88781.69757155774,6803,545,0,0,1,0,0.5375053329778015
ACC07229,1.764033248535408,9.0,6.0,9.0,89745.68178457792,5615,410,0,0,1,0,0.5375053329778015
ACC07300,1.164575725888848,9.0,6.0,9.0,92243.89611547304,3668,708,0,0,1,0,0.5375053329778015
ACC01040,1.2280293842639611,9.0,6.0,9.0,77580.52801779137,7356,726,0,0,1,0,0.5375053329778015
ACC01110,0.7987731824797083,9.0,6.0,9.0,52950.862247732905,3668,708,0,0,1,0,0.5375053329778015
ACC01203,0.8831012197316337,9.0,6.0,9.0,70986.25382430776,8492,679,0,0,1,0,0.5375053329778015
ACC01306,0.8834211634980255,9.0,6.0,9.0,83093.36033798102,3792,232,0,0,1,0,0.5375053329778015
ACC01478,1.3750780003651264,9.0,6.0,9.0,76208.30640558219,3668,708,0,0,1,0,0.5375053329778015
ACC01546,0.5887392360652856,9.0,6.0,9.0,45376.60511025804,6870,959,0,0,1,0,0.5375053329778015
ACC01616,0.38765016581911343,9.0,6.0,9.0,54272.16970433787,3568,865,0,0,1,0,0.5375053329778015
ACC01636,0.6880694939312042,9.0,6.0,9.0,71568.9444671589,6870,959,0,0,1,0,0.5375053329778015
ACC01737,1.2518839952540488,9.0,6.0,9.0,72375.04566551064,5077,376,0,0,1,0,0.5375053329778015
ACC01857,2.4365037685538677,9.0,6.0,9.0,86859.13943706697,5018,678,0,0,1,0,0.5375053329778015
ACC01998,1.277572591248678,9.0,6.0,9.0,78907.43128579734,3568,865,0,0,1,0,0.5375053329778015
ACC04179,0.9127395842340038,9.0,6.0,9.0,49724.87861384319,6870,959,0,0,1,0,0.5375053329778015
ACC04206,0.7642343676583159,9.0,6.0,9.0,106781.26947765032,7266,168,0,0,1,0,0.5375053329778015
ACC04230,0.8504427429989078,9.0,6.0,9.0,52869.98046201815,2535,424,0,0,1,0,0.5375053329778015
ACC04363,0.7207580243713486,9.0,6.0,9.0,68314.5606019794,3792,232,0,0,1,0,0.5375053329778015
ACC04544,0.6712059889267423,9.0,6.0,9.0,85331.95555069561,1651,133,0,0,1,0,0.5375053329778015
ACC04789,1.3707080447474884,9.0,6.0,9.0,96577.34570654602,7356,726,0,0,1,0,0.5375053329778015
ACC06359,0.962229484709825,9.0,6.0,9.0,63308.59957045008,8946,401,0,0,1,0,0.5375053329778015
ACC06378,0.8951256301275797,9.0,6.0,9.0,55370.032005796435,3668,708,0,0,1,0,0.5375053329778015
ACC06438,0.896697185723338,9.0,6.0,9.0,109350.40026771881,5077,376,0,0,1,0,0.5375053329778015
